Date_Forecast;Forecast_T_ANN_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_T_ANN_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
11/03/2008;0.021706099;0.018249686;0.025710337;0.031270684;0.020691641;0.016573499;0.017394756;0.036457133;0.022123082;0.070592412;0.041658681;0.0494403;0.054462505;0.044834837;0.039142771;0.040668864;1.74E-07
12/03/2008;0.018331448;0.026091379;0.024429042;0.027296776;0.028974569;0.022786512;0.01834275;-0.009036278;0.024204575;0.05961427;0.05002012;0.048295077;0.050857569;0.053541124;0.046243524;0.041824188;3.45E-05
13/03/2008;0.022593001;0.025013377;0.023774142;0.028609812;0.027979087;0.021960511;0.026089828;0.005113823;0.026764203;0.073379379;0.048963016;0.047608251;0.052074751;0.052544176;0.045347899;0.050042371;1.74E-05
14/03/2008;0.021280726;0.023135301;0.022042194;0.024781458;0.025756503;0.019981409;0.026921579;-0.021002274;0.029108164;0.069139604;0.046923257;0.045912443;0.048459285;0.050236772;0.043136535;0.050707709;6.13E-05
17/03/2008;0.026213447;0.024987781;0.026975057;0.032937236;0.029018382;0.022647135;0.026325288;-0.008999054;0.026284024;0.085226128;0.048784481;0.050834857;0.055858514;0.053441663;0.045985548;0.050114135;4.98E-09
18/03/2008;0.02287697;0.023985355;0.026023916;0.033655023;0.028008524;0.021755182;0.027356706;0.041534896;0.024751552;0.074391043;0.047737109;0.049819012;0.05636918;0.05240289;0.04495659;0.051069779;3.51E-06
19/03/2008;0.018225979;0.034437706;0.024963369;0.029418314;0.038510116;0.030290149;0.026894798;-0.024586997;0.019146405;0.059269912;0.05745455;0.049107759;0.052804584;0.061913629;0.053423481;0.050665005;8.47E-07
20/03/2008;0.020391177;0.037253446;0.032445902;0.040325534;0.042996742;0.034149325;0.036353564;0.023662286;0.015165242;0.06624604;0.059713994;0.05602112;0.061796599;0.06541985;0.056716948;0.058925175;2.73E-05
24/03/2008;0.015487107;0.038910532;0.030019986;0.034563151;0.046185348;0.036713635;0.042242562;0.015205243;0.011036666;0.050324582;0.06087034;0.053667454;0.056925474;0.067594469;0.058582205;0.06344344;1.98E-05
25/03/2008;0.010726983;0.037667062;0.027616578;0.029687058;0.045516312;0.035728705;0.044541373;0.002301248;0.007563106;0.034771417;0.059844389;0.05138226;0.052684024;0.067007576;0.05770409;0.065129977;1.00E-05
