Date_Forecast;Forecast_LSTM_ARCH;Forecast_GARCH;Forecast_GJR_GARCH;Forecast_TARCH;Forecast_EGARCH;Forecast_AVGARCH;Forecast_FIGARCH;ReturnForecast;TrueSD;VaR_LSTM_ARCH;VaR_GARCH;VaR_GJR_GARCH;VaR_TARCH;VaR_EGARCH;VaR_AVGARCH;VaR_FIGARCH;SquaredError
14/03/2008;0.010719344;0.023135301;0.022042195;0.024781449;0.025756562;0.019981409;0.026921579;-0.021002274;0.029108164;0.034756108;0.046923257;0.045912443;0.048459255;0.050236878;0.043136535;0.050707709;0.000338149
17/03/2008;0.003612325;0.024987781;0.026975057;0.032937272;0.02901839;0.022647135;0.026325288;-0.008999054;0.026284024;0.011646217;0.048784481;0.050834857;0.055858596;0.053441679;0.045985548;0.050114135;0.000514006
18/03/2008;0.027161663;0.023985355;0.026023916;0.033655023;0.028008524;0.021755182;0.027356706;0.041534896;0.024751552;0.088340232;0.047737109;0.049819012;0.05636918;0.052402892;0.04495659;0.051069779;5.81E-06
19/03/2008;0.010131521;0.034437706;0.024963369;0.029418304;0.038510097;0.030290149;0.026894798;-0.024586997;0.019146405;0.032917702;0.05745455;0.049107759;0.052804558;0.061913602;0.053423481;0.050665005;8.13E-05
20/03/2008;0.014489696;0.037253446;0.032445902;0.040325546;0.042996761;0.034149325;0.036353564;0.023662286;0.015165242;0.047033256;0.059713994;0.05602112;0.061796617;0.06541988;0.056716948;0.058925175;4.56E-07
24/03/2008;0.016725173;0.038910532;0.030019986;0.034563151;0.046185325;0.036713635;0.042242562;0.015205243;0.011036666;0.054355215;0.06087034;0.053667454;0.056925474;0.067594424;0.058582205;0.06344344;3.24E-05
25/03/2008;0.010932887;0.037667062;0.027616578;0.029687046;0.045516464;0.035728705;0.044541371;0.002301248;0.007563106;0.035441756;0.059844389;0.05138226;0.052683988;0.067007685;0.05770409;0.06512997;1.14E-05
26/03/2008;0.004121302;0.034613641;0.025418521;0.02564644;0.040501283;0.030427896;0.043345604;-0.008804405;0.01948168;0.013242373;0.057527007;0.049388359;0.04909064;0.063429768;0.053426451;0.064450584;0.000235941
27/03/2008;0.002795711;0.032790089;0.024629506;0.026923404;0.038498279;0.028649387;0.039818956;-0.011526659;0.018709973;0.008900647;0.056003983;0.048602095;0.050338324;0.061796634;0.051819797;0.061785935;0.000253264
28/03/2008;0.008027;0.031084935;0.024902441;0.029638853;0.037771004;0.028053538;0.036268382;-0.007981958;0.016853414;0.025964234;0.054172584;0.048808562;0.052685846;0.060815692;0.05103306;0.0585939;7.79E-05
31/03/2008;0.004482747;0.02947415;0.02389497;0.030181637;0.035866423;0.026282311;0.033505735;0.005671135;0.015363765;0.014500808;0.052743382;0.047753673;0.053133933;0.059219515;0.049337995;0.056325855;0.000118397
01/04/2008;0.012842953;0.027575137;0.022015323;0.026050484;0.033222051;0.023718725;0.030504278;0.035267092;0.015641716;0.041731646;0.051136264;0.045974234;0.04955192;0.057120016;0.046993944;0.053846956;7.83E-06
02/04/2008;0.002483297;0.034202695;0.021088304;0.022615944;0.041330936;0.030212089;0.027731015;-0.001935943;0.002843856;0.008009837;0.056995883;0.045156326;0.046092326;0.063965479;0.0532074;0.051216802;1.30E-07
